Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,C1 Score,C2 Score,C3 Score,C4 Score,C5 Score,C6 Score,Federer Score,Verdict,Personalization Hook
Ananth Technologies,ananthtech.com,Hyderabad,Defence electronics / aerospace,"Satellite systems, avionics, radar subsystems",Rs.100-300Cr,"Dr. Subba Rao Pavuluri",Strong,Strong,Strong,Strong,Strong,Strong,100,"Strong Fit","First private Indian company authorized for GSO satellite operations under IN-SPACe"
Avantel Limited,avantel.in,Hyderabad,Defence electronics,"Software-defined radios and defence communication systems",Rs.100-300Cr,"Dr. Abburi Vidyasagar",Strong,Strong,Strong,Strong,Strong,Strong,100,"Strong Fit","Recently inaugurated a new Rs.56Cr defence electronics facility"
Lokesh Machines,lokeshmachines.com,Hyderabad,Precision engineering,"CNC machines and aerospace components",Rs.100-300Cr,"M. Lokeswara Rao",Strong,Strong,Strong,Strong,Strong,Strong,100,"Strong Fit","Expanding aerospace manufacturing division under gen-2 leadership"
ABR Organics,abrorganics.net,Hyderabad,Specialty chemicals,"Polyimide films and specialty polymers",Rs.30-50Cr,"Dr. K.V.C. Rao",Strong,Strong,Strong,Strong,Moderate,Weak,70,"Borderline","Supplies specialty materials for ISRO applications"
Alkali Metals Limited,alkalimetals.com,Hyderabad,Specialty chemicals,"Tetrazoles and specialty chemical intermediates",Rs.50-100Cr,"Y.S.R. Venkata Rao",Strong,Strong,Strong,Strong,Moderate,Moderate,80,"Fit","USFDA-approved manufacturing facility for specialty intermediates"
ViNS Bioproducts,vinsbio.in,Hyderabad,Specialty biotech,"Antivenoms and antisera biological products",Rs.30-50Cr,"Siddarth Daga",Strong,Strong,Strong,Moderate,Strong,Moderate,80,"Fit","Exports antisera products to over 110 countries"
Biological E,biologicale.com,Hyderabad,Biotech manufacturing,"Vaccines and biologics",Rs.300-500Cr,"Mahima Datla",Strong,Strong,Strong,Strong,Strong,Strong,95,"Strong Fit","Expanding vaccine manufacturing capabilities globally"
Indian Immunologicals,indimmune.com,Hyderabad,Animal health biotech,"Veterinary vaccines and animal health products",Rs.100-300Cr,"Dr. K. Anand Kumar",Strong,Strong,Strong,Strong,Strong,Moderate,90,"Strong Fit","One of India’s leading veterinary vaccine manufacturers"
Hetero Drugs,hetero.com,Hyderabad,Specialty pharma,"Complex APIs and pharmaceutical formulations",Rs.300-500Cr,"Dr. B. Parthasaradhi Reddy",Strong,Strong,Strong,Strong,Strong,Strong,95,"Strong Fit","Strong export presence across regulated markets"
Sai Life Sciences,sailife.com,Hyderabad,Custom synthesis,"Drug discovery and specialty chemistry services",Rs.100-300Cr,"Krishna Kanumuri",Strong,Strong,Strong,Strong,Strong,Moderate,90,"Strong Fit","Recently expanded integrated R&D and manufacturing operations"
Granules India,granulesindia.com,Hyderabad,Specialty pharma,"Finished dosages and pharmaceutical intermediates",Rs.300-500Cr,"Krishna Prasad Chigurupati",Strong,Strong,Strong,Strong,Strong,Strong,95,"Strong Fit","Expanding US-focused pharmaceutical manufacturing"
Aurobindo Pharma,aurobindo.com,Hyderabad,Complex pharma,"Injectables and specialty formulations",">Rs.500Cr","P.V. Ramprasad Reddy",Strong,Strong,Strong,Strong,Strong,Strong,0,"Auto-disqualified","Revenue exceeds ICP threshold"
